TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1717845075 0 0 0
1717845085 0 0 0
1717845096 0 0 0
1717845106 0 0 0
1717845116 0 0 0
1717845127 0 0 0
1717845137 0 0 0
1717845147 0 0 0
1717845158 0 0 0
1717845168 0 0 0
1717845178 0 0 0
1717845188 0 0 0
1717845199 0 0 0
1717845209 0 0 0
1717845219 0 0 0
1717845230 0 0 0
1717845240 0 0 0
1717845250 0 0 0
1717845261 0 0 0
1717845271 0 0 0
1717845281 0 0 0
1717845292 0 0 0
1717845302 0 0 0
1717845312 0 0 0
1717845323 0 0 0
1717845333 0 0 0
1717845343 0 0 0
1717845353 0 0 0
1717845364 0 0 0
1717845374 0 0 0
1717845384 0 0 0
1717845395 0 0 0
1717845405 0 0 0
1717845415 0 0 0
1717845425 0 0 0
1717845436 0 0 0
1717845446 0 0 0
1717845456 0 0 0
1717845466 0 0 0
1717845477 0 0 0
1717845487 0 0 0
1717845497 0 0 0
1717845508 0 0 0
1717845518 0 0 0
1717845528 0 0 0
1717845538 0 0 0
1717845549 0 0 0
1717845559 0 0 0
1717845569 0 0 0
1717845580 0 0 0
1717845590 0 0 0
1717845600 0 0 0
1717845611 0 0 0
1717845621 0 0 0
1717845631 0 0 0
1717845641 0 0 0
1717845652 0 0 0
1717845662 0 0 0
1717845672 0 0 0
1717845683 0 0 0
1717845693 0 0 0
1717845703 0 0 0
1717845713 0 0 0
1717845724 0 0 0
1717845734 0 0 0
1717845744 0 0 0
1717845755 0 0 0
1717845765 0 0 0
1717845775 0 0 0
1717845785 0 0 0
1717845796 0 0 0
1717845806 0 0 0
1717845816 0 0 0
1717845827 0 0 0
1717845837 0 0 0
1717845847 0 0 0
1717845858 0 0 0
1717845868 0 0 0
1717845878 0 0 0
1717845888 0 0 0
1717845899 0 0 0
1717845909 0 0 0
1717845919 0 0 0
1717845930 0 0 0
1717845940 0 0 0
1717845950 0 0 0
1717845960 0 0 0
1717845971 0 0 0
1717845981 0 0 0
1717845991 0 0 0
1717846002 0 0 0
1717846012 0 0 0
1717846022 0 0 0
1717846033 0 0 0
1717846043 0 0 0
1717846053 0 0 0
1717846063 0 0 0
1717846074 0 0 0
1717846084 0 0 0
1717846094 0 0 0
1717846105 0 0 0
1717846115 0 0 0
1717846125 0 0 0
1717846136 0 0 0
1717846146 0 0 0
1717846156 0 0 0
1717846167 0 0 0
1717846177 0 0 0
1717846187 0 0 0
1717846197 0 0 0
1717846208 0 0 0
1717846218 0 0 0
1717846228 0 0 0
1717846239 0 0 0
1717846249 0 0 0
1717846259 0 0 0
1717846269 0 0 0
1717846280 0 0 0
1717846290 0 0 0
1717846300 0 0 0
1717846311 0 0 0
1717846321 0 0 0
1717846331 0 0 0
1717846342 0 0 0
1717846352 0 0 0
1717846362 0 0 0
1717846372 0 0 0
1717846383 0 0 0
1717846393 0 0 0
1717846403 0 0 0
1717846413 0 0 0
1717846424 0 0 0
1717846434 0 0 0
1717846444 0 0 0
1717846455 0 0 0
1717846465 0 0 0
1717846475 0 0 0
1717846485 0 0 0
1717846496 0 0 0
